+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
|                94 |  5 |   WAITING |     READY |
|                94 |  1 |   WAITING |     READY |
|                94 |  1 |     READY |   RUNNING |
|                95 | 10 |   WAITING |     READY |
|                95 |  1 |   RUNNING |   WAITING |
|                95 |  5 |     READY |   RUNNING |
|                96 |  5 |   RUNNING |   WAITING |
|                96 | 10 |     READY |   RUNNING |
|                97 |  1 |   WAITING |     READY |
|                97 | 10 |   RUNNING |   WAITING |
|                97 |  1 |     READY |   RUNNING |
|                98 |  1 |   RUNNING |   WAITING |
|                99 |  5 |   WAITING |     READY |
|                99 | 10 |   WAITING |     READY |
|                99 |  5 |     READY |   RUNNING |
|               100 |  1 |   WAITING |     READY |
|               100 |  5 |   RUNNING |   WAITING |
|               100 |  1 |     READY |   RUNNING |
|               101 |  1 |   RUNNING |   WAITING |
|               101 | 10 |     READY |   RUNNING |
|               102 | 10 |   RUNNING |   WAITING |
|               103 |  5 |   WAITING |     READY |
|               103 |  1 |   WAITING |     READY |
|               103 |  1 |     READY |   RUNNING |
|               104 | 10 |   WAITING |     READY |
|               104 |  1 |   RUNNING |   WAITING |
|               104 |  5 |     READY |   RUNNING |
|               105 |  5 |   RUNNING |   WAITING |
|               105 | 10 |     READY |   RUNNING |
|               106 |  1 |   WAITING |     READY |
|               106 | 10 |   RUNNING |   WAITING |
|               106 |  1 |     READY |   RUNNING |
|               107 |  1 |   RUNNING |   WAITING |
|               108 |  5 |   WAITING |     READY |
|               108 | 10 |   WAITING |     READY |
|               108 |  5 |     READY |   RUNNING |
|               109 |  1 |   WAITING |     READY |
|               109 |  5 |   RUNNING |   WAITING |
|               109 |  1 |     READY |   RUNNING |
|               110 |  1 |   RUNNING |   WAITING |
|               110 | 10 |     READY |   RUNNING |
|               111 | 10 |   RUNNING |   WAITING |
|               112 |  5 |   WAITING |     READY |
|               112 |  1 |   WAITING |     READY |
|               112 |  1 |     READY |   RUNNING |
|               113 | 10 |   WAITING |     READY |
|               113 |  1 |   RUNNING |   WAITING |
|               113 |  5 |     READY |   RUNNING |
|               114 |  5 |   RUNNING |   WAITING |
|               114 | 10 |     READY |   RUNNING |
|               115 |  1 |   WAITING |     READY |
|               115 | 10 |   RUNNING |   WAITING |
|               115 |  1 |     READY |   RUNNING |
|               116 |  1 |   RUNNING |   WAITING |
|               117 |  5 |   WAITING |     READY |
|               117 | 10 |   WAITING |     READY |
|               117 |  5 |     READY |   RUNNING |
|               118 |  1 |   WAITING |     READY |
|               118 |  5 |   RUNNING |   WAITING |
|               118 |  1 |     READY |   RUNNING |
|               119 |  1 |   RUNNING |   WAITING |
|               119 | 10 |     READY |   RUNNING |
|               120 | 10 |   RUNNING |   WAITING |
|               121 |  5 |   WAITING |     READY |
|               121 |  1 |   WAITING |     READY |
|               121 |  1 |     READY |   RUNNING |
|               122 | 10 |   WAITING |     READY |
|               122 |  1 |   RUNNING |   WAITING |
|               122 |  5 |     READY |   RUNNING |
